CUPS;Fecha;Hora;Consumo;Metodo_obtencion
ES0022000004433403RW1P;10/05/2021;4;0,104;R
ES0022000004433403RW1P;10/05/2021;5;0,106;R
ES0022000004433403RW1P;10/05/2021;6;0,112;R
ES0022000004433403RW1P;10/05/2021;7;0,242;R
ES0022000004433403RW1P;10/05/2021;8;0,178;R
ES0022000004433403RW1P;10/05/2021;9;0,130;R
ES0022000004433403RW1P;10/05/2021;10;0,114;R
ES0022000004433403RW1P;10/05/2021;11;0,180;R
ES0022000004433403RW1P;10/05/2021;12;0,260;R
ES0022000004433403RW1P;10/05/2021;13;0,277;R
ES0022000004433403RW1P;10/05/2021;14;0,274;R
ES0022000004433403RW1P;10/05/2021;15;0,211;R
ES0022000004433403RW1P;10/05/2021;16;0,386;R
ES0022000004433403RW1P;10/05/2021;17;0,223;R
ES0022000004433403RW1P;10/05/2021;18;0,234;R
ES0022000004433403RW1P;10/05/2021;19;0,400;R
ES0022000004433403RW1P;10/05/2021;20;0,406;R
ES0022000004433403RW1P;10/05/2021;21;0,492;R
ES0022000004433403RW1P;10/05/2021;22;0,413;R
ES0022000004433403RW1P;10/05/2021;23;0,350;R
ES0022000004433403RW1P;10/05/2021;24;0,139;R
ES0022000004433403RW1P;11/05/2021;1;0,126;R
ES0022000004433403RW1P;11/05/2021;2;0,121;R
ES0022000004433403RW1P;11/05/2021;3;0,209;R
ES0022000004433403RW1P;11/05/2021;4;0,112;R
ES0022000004433403RW1P;11/05/2021;5;0,094;R
ES0022000004433403RW1P;11/05/2021;6;0,091;R
ES0022000004433403RW1P;11/05/2021;7;0,268;R
ES0022000004433403RW1P;11/05/2021;8;0,149;R
ES0022000004433403RW1P;11/05/2021;9;0,248;R
ES0022000004433403RW1P;11/05/2021;10;0,195;R
ES0022000004433403RW1P;11/05/2021;11;0,275;R
ES0022000004433403RW1P;11/05/2021;12;1,266;R
ES0022000004433403RW1P;11/05/2021;13;0,897;R
ES0022000004433403RW1P;11/05/2021;14;0,874;R
ES0022000004433403RW1P;11/05/2021;15;0,572;R
ES0022000004433403RW1P;11/05/2021;16;0,782;R
ES0022000004433403RW1P;11/05/2021;17;0,218;R
ES0022000004433403RW1P;11/05/2021;18;0,294;R
ES0022000004433403RW1P;11/05/2021;19;0,950;R
ES0022000004433403RW1P;11/05/2021;20;2,115;R
ES0022000004433403RW1P;11/05/2021;21;1,473;R
ES0022000004433403RW1P;11/05/2021;22;0,591;R
ES0022000004433403RW1P;11/05/2021;23;0,196;R
ES0022000004433403RW1P;11/05/2021;24;0,196;R
ES0022000004433403RW1P;12/05/2021;1;0,100;R
ES0022000004433403RW1P;12/05/2021;2;0,114;R
ES0022000004433403RW1P;12/05/2021;3;0,178;R
ES0022000004433403RW1P;12/05/2021;4;0,155;R
ES0022000004433403RW1P;12/05/2021;5;0,095;R
ES0022000004433403RW1P;12/05/2021;6;0,096;R
ES0022000004433403RW1P;12/05/2021;7;0,264;R
ES0022000004433403RW1P;12/05/2021;8;0,104;R
ES0022000004433403RW1P;12/05/2021;9;0,346;R
ES0022000004433403RW1P;12/05/2021;10;0,241;R
ES0022000004433403RW1P;12/05/2021;11;0,214;R
ES0022000004433403RW1P;12/05/2021;12;0,226;R
ES0022000004433403RW1P;12/05/2021;13;0,248;R
ES0022000004433403RW1P;12/05/2021;14;0,349;R
ES0022000004433403RW1P;12/05/2021;15;0,292;R
ES0022000004433403RW1P;12/05/2021;16;0,367;R
ES0022000004433403RW1P;12/05/2021;17;0,199;R
ES0022000004433403RW1P;12/05/2021;18;0,312;R
ES0022000004433403RW1P;12/05/2021;19;0,386;R
ES0022000004433403RW1P;12/05/2021;20;0,853;R
ES0022000004433403RW1P;12/05/2021;21;0,881;R
ES0022000004433403RW1P;12/05/2021;22;0,345;R
ES0022000004433403RW1P;12/05/2021;23;0,290;R
ES0022000004433403RW1P;12/05/2021;24;0,195;R
ES0022000004433403RW1P;13/05/2021;1;0,120;R
ES0022000004433403RW1P;13/05/2021;2;0,117;R
ES0022000004433403RW1P;13/05/2021;3;0,124;R
ES0022000004433403RW1P;13/05/2021;4;0,113;R
ES0022000004433403RW1P;13/05/2021;5;0,102;R
ES0022000004433403RW1P;13/05/2021;6;0,095;R
ES0022000004433403RW1P;13/05/2021;7;0,279;R
ES0022000004433403RW1P;13/05/2021;8;0,148;R
ES0022000004433403RW1P;13/05/2021;9;0,405;R
ES0022000004433403RW1P;13/05/2021;10;0,321;R
ES0022000004433403RW1P;13/05/2021;11;0,215;R
ES0022000004433403RW1P;13/05/2021;12;0,232;R
ES0022000004433403RW1P;13/05/2021;13;0,213;R
ES0022000004433403RW1P;13/05/2021;14;0,231;R
